sentence,audio,preposition,id
"Пока в редакции работала, ещё и училась.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-1811279-1813815.wav,в,47
"Ездить на м= ну, ездить на машине - это одно, на транспорте я не набегаюсь, потому что мы территориально живём в самом углу квартала Маяковский.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-1820599-1830091.wav,в,48
"А во дворе у нас большое футбольное поле, которое заброшено.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-1855172-1859810.wav,в,49
Потом скоро я буду жить в своём дворе.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-1864606-1867501.wav,в,50
"Сейчас вот два дня я почему потеряла, потому что у меня внутренняя отделка в доме, вот сейчас заедет бригада.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-1877509-1883747.wav,в,51
"Вот, и я люблю в своём доме, мне вот этот пятый этаж, конечно...",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-1912791-1917530.wav,в,52
У нас вообще не заржавеет во дворе.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-1938967-1941669.wav,в,53
И они учились вдвоём в МАДИ.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-2022750-2026554.wav,в,54
И познакомились в МАДИ.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-2026554-2028590.wav,в,55
И Стас у меня окончил МАДИ.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-2028590-2031102.wav,в,56
Ну в общем там это...,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-2050299-2053544.wav,в,57
"Дед у нас работал вот в этой ""Пьяной яме"", и оттуда почему-то как-то их отправляли в Монголию.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-2080253-2087248.wav,в,58
"И там они вот, Стас, десятый-одиннадцатый класс там оканчивал, в Монголии.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-2094398-2100206.wav,в,59
"Теперь они в Москве, вот приезжают, кто из Монголии, они встречаются здесь все.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-2100206-2105350.wav,в,60
"Он их помнит, вот они, говорит, в то время они одни монголы приходили, если они что-то чувствуют заболевают, они все были в масках.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-2109192-2117767.wav,в,61
"Ну он был в городе, поэтому ему...",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-2160000-2163025.wav,в,62
"Ну да, он прямо в центре там был.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-2164107-2166333.wav,в,63
"В общем, он был просто, говорит, ам= а мне так не досталось.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-2196813-2200954.wav,в,64
Сначала у нас рынок был в одном конце города.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-2213727-2217699.wav,в,65
"А на самом деле уже= уже на этих фабриках, где это= заводах на всех, ну в смысле, где это всё.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-2447123-2454186.wav,в,66
Потому что у Володи у нас директор института рыбного в Москве.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-2491161-2497524.wav,в,67
"В контакте, я могу подойти к ним научиться, посмотреть там, чем они занимаются, я...",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-2704954-2710306.wav,в,68
"А сижу в том же кабинете, где и сидела.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-2715533-2718223.wav,в,69
В конце концов.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-2936728-2938163.wav,в,70
"Ну, в смысле?",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-3016483-3017784.wav,в,71
"Ой, ну в общем, печально.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-3020721-3022908.wav,в,72
Она дистанционно училась в Северодвинске.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-3066568-3069994.wav,в,73
"И мы должны были в июле вот, двадцать второго июля должны были на вторую половину.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-3226762-3232939.wav,в,74
"Туда, ну, в общем, без Насти...",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-3238327-3241615.wav,в,75
"Да, в девяносто третьем году я экзамен по английскому сдавала.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-3375497-3379593.wav,в,76
"В общем, она обычно Наташку там Орлову просит проверить, а тут она меня.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-3419647-3423683.wav,в,77
"И там, значит, надо было в ролях читать.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-3425041-3427796.wav,в,78
Она должна была выучить текст и его рассказать в ролях.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-3450244-3453975.wav,в,79
"И она, знаешь, так мне монотонно начала, а я не люблю монотонно, мне надо в ролях.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-3453975-3458628.wav,в,80
"Вот, а= в общем, очень дорогой тоже, да.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-3550486-3553770.wav,в,81
"двое в младенчестве, и один мальчик так постарше.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-87930-91260.wav,в,82
"А так вообще нас вот здесь четверо сестер живет, и одна у нас в Королеве.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-115750-120680.wav,в,83
"Тоже здесь, в Московской области, все вот проживали.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-120960-127030.wav,в,84
Роди= работал всегда в подсобном хозяйстве и ковал лошадей.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-134117-139330.wav,в,85
Кузнечик очень был такой известный в подсобном хозяйстве.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-148540-153220.wav,в,86
"И вот лошади, конечно, с= ходили, работали в подсобном хозяйстве.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-179420-183170.wav,в,87
"а именно в подсобном хозяйстве, которое раньше называлось ""Новостройка"".",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-193140-196760.wav,в,88
"Тоже она в коровни= на коровнике там, ну а потом...",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-203665-207965.wav,в,89
"В общем, от мала до велика.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-247415-250550.wav,в,90
"И все бегали в лесу, на полянах...",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-250600-253820.wav,в,91
"Мы в ней купались, около нее загорали, бегали...",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-263190-266290.wav,в,92
"В общем, вся еда наша была лесная.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-266390-270780.wav,в,93
"Шишечки от сосны, от елочки, в общем...",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-270840-276620.wav,в,94
Всю весну мы питались в лесах с удовольствием.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-270840-276620.wav,в,95
"А училась я тоже в елецком с=, в введенской школе.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-283300-287845.wav,в,96
Вот учились в школе в елецкой до последнего.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-309000-317530.wav,в,97
"Это, в общем...",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-364670-367900.wav,в,98
Первый муж у меня погиб молодым в аварии.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-453470-459920.wav,в,99
"В девяностом году мы сошлись с Володей,",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-464190-468105.wav,в,100
"Более в позднем возрасте, когда сыночек вырос,",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-502170-505890.wav,в,101
Он в подсобном хозяйстве также вырос.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-601915-604680.wav,в,102
"И учился также в Введенской школе, а потом, мы когда перехали, он уже в звенигородской школе в первой учился.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-604700-610330.wav,в,103
А так он рожден в подсобном хозяйстве и [нрзб] живет.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-610560-614460.wav,в,104
"Потом здесь он, в Звенигороде, а потом вот...",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-650540-654380.wav,в,105
"В смысле не еду, а просфоры пекла.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-698610-701330.wav,в,106
"И дети наши... в= все внучки причащаются там, сыночек в ха= в холле...",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-766360-771960.wav,в,107
"Я сижу, вот села в огороде, где бы она ни лежала, увидела, что я села - прибежит ко мне.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-938260-944950.wav,в,108
"У нас друг у сына приходил и всегда говорил: ""Человек в собачьей шкуре"".",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-1102730-1109950.wav,в,109
"Сперва стояла фотография, а в этом году уже убрала - как-то мне... П= На нее посмотрю - и тяжело, вспоминаю, говорю: ""Не надо"".",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-1132910-1141510.wav,в,110
"Выступает тоже везде в военной форме уже, пять лет ему.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-1196550-1200860.wav,в,111
Вот будет в авгус=... в сентябре.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-1328230-1334030.wav,в,112
"Она раньше и к нам приходила, еще в прошлом году, сейчас уже... не поднимается, больше по городе.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-1335770-1343940.wav,в,113
"А мы часто видимся в городе,",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-1335770-1343940.wav,в,114
"Она в полном здравии, так вот...",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-1346580-1353280.wav,в,115
"Работала в Монголии - ее направили от производства, да.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-1389930-1394840.wav,в,116
"Вот, а потом уже здесь, в детском саду она была.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-1400360-1404490.wav,в,117
"То не в том районе дается квартира, то там, то там...",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-1484080-1490250.wav,в,118
"То управление, да, в том упра= уп= управлении, потому что там уже прошло время, и начали говорить...",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-1541760-1552960.wav,в,119
"И в Москве я работала, когда у них управление переехало...",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-1615800-1624020.wav,в,120
"А там целая семья; им, конечно, удобнее тоже в своей семье.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-1714720-1721170.wav,в,121
Но у нас место есть в садике.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-1740945-1743055.wav,в,122
"Три, три; старшая-то там живет, а эти две вот последние здесь, в этом доме они живут, в родительском...",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-1809980-1815630.wav,в,123
"Так что Василиса наша ходит в садик, а с Ксюшей они в одной группе.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-1820570-1826320.wav,в,124
"Сейчас я скажу, вот он в этом, в Шихово... Юридический.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-1927750-1932510.wav,в,125
"Вот в основном вот такие цветы, которые многолетние.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-2091060-2096540.wav,в,126
"Я больше сейчас, знаете как, вот в духовном сейчас этом... как...",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-2296200-2301730.wav,в,127
В основном о губернаторе.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-2367540-2373990.wav,в,128
В этом году приходит мне...,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-2397860-2404510.wav,в,129
"Но в этом году приходит мне никаких ни квитанций, ни писем - ничего не было, и вдруг приходит письмо из налоговой, и:",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-2424730-2432830.wav,в,130
"Начислили, в общем...",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-2438280-2445370.wav,в,131
"И, в общем, вот такая пришла путаница...",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-2454130-2462500.wav,в,132
"Мы пришли в живую очередь, и вот в результате вот так.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-2584840-2589570.wav,в,133
"А сейчас в основном у нас есть прихожане такие - я на автобус прихожу, они раньше едут и меня всегда довозят до храма, а потом обратно прямо до дома довозят.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-2637820-2647690.wav,в,134
"И вот те жили, значит, в этой комнате, где...",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-2669360-2674550.wav,в,135
"Де= Младшие, наверно, в новой, вот так я думаю, старшие - там.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-2710070-2717940.wav,в,136
Но он в основном находится в монастыре сейчас почему-то.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-2746170-2749950.wav,в,137
"Оксана ходит с девочкой туда, и у них во дворе там вот это... площадка детская теперь есть,",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-2927660-2933170.wav,в,138
"А так она как бы в полном здравии, все хорошо.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-2939320-2946730.wav,в,139
В Подмосковье.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-30018-33618.wav,в,140
С четвёртого класса в первой школе Звенигородской.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-41503-45009.wav,в,141
"Языки были у нас, в общем, изучались немецкий, английский, но так как у меня спецшкола была в Тамбове с немецким языком, я попала в класс с немецким языком.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-52044-64683.wav,в,142
"соучеников обгоняла, и потом, наверное, классе в пятом",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-73466-78525.wav,в,143
в шестом я с ними сравнялась,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-79202-82086.wav,в,144
А в одиннадцатом классе у нас вообще уже немецкого языка не было.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-93094-97746.wav,в,145
"Потом институт, но в институте уже было специализированный язык, и много было других",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-97746-108205.wav,в,146
"всяких занятий, было как бы не до языка до немецкого и, в общем, всё это ушло… ну, никуда, практически.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-108205-116293.wav,в,147
"Я ездила, и в общежитии жила частично.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-148063-150853.wav,в,148
"Нет, там был кто распоряжался общежитием, он учился с моей мамой в одной группе, и, конечно, он не мог маме отказать",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-158669-165970.wav,в,149
в такой небольшой просьбе - предоставить мес=,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-165970-170211.wav,в,150
"Ну, в общем, милиции.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-221209-226552.wav,в,151
"УВД, в общем.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-226552-232071.wav,в,152
"А в восемьдесят, значит, пятом году его переводят сюда, в Звенигород, начальником санатория МВД.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-232071-240262.wav,в,153
А в девяносто шестом году он выбирается мэром города Звенигорода,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-240262-246545.wav,в,154
"А в двухтысячном он уже второй раз не выбирается, и он заканчивает свою трудовую деятельность директором гостиницы «Звенигород».",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-246545-255604.wav,в,155
"А потом мы, в общем, решили продать квартиру, они там что-то своё захотели.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-304069-309909.wav,в,156
"Мы же с перерывами, мы возвращались, уезжали, ну, в общем, в общей сложности четыре года первый заезд.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-367139-374313.wav,в,157
"Нет, уже [нрзб] жить, но уже именно в Софии, не работать, а вот как бы жить там",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-392698-397559.wav,в,158
"В общем, посольских там",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-539095-541436.wav,в,159
"держали в узде, потому что они посольские, и если они там что-то там сделают не так, то их родителей выгонят с работы.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-543070-550557.wav,в,160
"Там было очень много болгар, болгар держали там с таким условием, что, в общем будете себя плохо вести - мы вообще вас, болгар, не обязаны учить в нашей русской школе.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-550557-560488.wav,в,161
"А нас, русских, держали, потому что они вот тоже такие щедрые, они готовы нас учить, в общем-то, на всех такой прессинг был.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-560488-568025.wav,в,162
"А что меня поразило, например, вот после там= после Тамбова, когда я приехала, я там училась такая ну была как бы элитная школа, да, всё-таки в спецшколах всегда распределялись",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-606584-616338.wav,в,163
"То есть да, вот этот уровень общения он в принципе моих детей вот он тоже не устраивает",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-668796-673442.wav,в,164
"Ну вот, и немножко вот, в общем, общение не устраивает.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-691642-697058.wav,в,165
"Семьи-то всё равно семьи есть, с которыми дружим, мы так в принципе и дружим, семьями, да?",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-718867-725717.wav,в,166
"То есть, в случае чего, я там позвоню твоей маме, я знаю, что, вот там, меня выручат или там к папе там всегда могу обратиться, да ну вот как я тебе скажу - приятельские, хорошие приятельские.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-746856-757372.wav,в,167
"Три года можно не звонить, в принципе, вполне.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-766231-777944.wav,в,168
"Общаемся, видимся, да, так, ну вот больше вот в церкви.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-828245-835943.wav,в,169
"То есть, считай вот, в принципе, вот",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-863426-867044.wav,в,170
"Вот как мама твоя, да, она, у неё нет там интересов в песочнице сидеть.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-886045-899475.wav,в,171
